title,country,premiere,premiere_pl,director,genre,length,rate_fwb,votes_fwb,want_fwb,boxoffice,budget,gross_usa,rate_imdb,votes_imdb,oscar_nom,oscar_won,rasp_nom,rasp_won,gold_nom,gold_won,gga,bafta
Misery,USA,1990,1990,Rob Reiner,Thriller,107,7.6,145207,69127,61276872,20000000,61276872,7.8,149683,0,1,0,0,0,0,1,0
Wyznania gejszy,USA,2005,2006,Rob Marshall,Melodramat,145,7.7,166444,34607,162242962,85000000,57490508,7.4,125644,3,3,0,0,0,0,1,3
Magnolia,USA,1999,2000,Paul Thomas Anderson,Dramat,188,7.4,35450,51344,48451803,37000000,22455976,8.0,255734,3,0,0,0,0,1,1,0
Robin Hood Ksiaze zlodziei,USA,1991,1991,Kevin Reynolds,Przygodowy,143,7.2,130195,12130,390493908,48000000,165493908,6.9,155625,1,0,1,1,0,0,0,1
Dracula,USA,1992,1992,Francis Ford Coppola,Horror,128,7.5,127472,35532,215862692,40000000,82522790,7.5,157948,1,3,0,0,0,0,0,0
Sniadanie u Tiffanyego,USA,1961,1961,Blake Edwards,Melodramat,115,7.8,131241,44201,14000000,2500000,8000000,7.7,137582,3,2,0,0,0,0,0,0
Jeden dzien,USA,2011,2011,Lone Scherfig,Melodramat,108,7.5,150216,34959,59389433,15000000,13843771,7.0,117871,0,0,0,0,0,0,0,0
Podaj dalej,USA,2000,2001,Mimi Leder,Dramat,124,7.6,164003,58851,55707411,40000000,33519628,7.2,102394,0,0,0,0,0,0,0,0
Wciaz ja kocham,USA,2010,2010,Lasse Hallstrom,Melodramat,105,7.3,146365,21008,114977104,25000000,80014842,6.3,117329,0,0,0,0,0,0,0,0
Obecnosc 2,USA,2016,2016,James Wan ,Horror,134,7.1,89851,16466,320270008,40000000,102470008,7.4,157213,0,0,0,0,0,0,0,0
Twoj na zawsze,USA,2010,2010,Allen Coulter,Melodramat,113,7.4,116042,23348,56032889,16000000,19068240,7.2,122499,0,0,1,0,0,0,0,0
John Q.,USA,2002,2002,Nick Cassavetes,Dramat,116,7.5,117656,53539,102244770,36000000,71756802,7.1,107385,0,0,0,0,0,0,0,0
Last Vegas,USA,2013,2013,Jon Turteltaub,Komedia,105,6.9,93339,13182,134402450,28000000,63914167,6.6,115092,0,0,0,0,0,0,0,0
Woda dla sloni,USA,2011,2011,Francis Lawrence,Melodramat,120,7.2,90153,23448,117094902,38000000,58709717,6.9,100903,0,0,0,0,0,0,0,0
Scooby-Doo,USA,2002,2002,Raja Gosnell,Familijny,87,5.7,32480,950,275650703,84000000,153288182,5.0,78931,0,0,2,0,0,0,0,0
