title,country,premiere,premiere_pl,director,genre,length,rate_fwb,votes_fwb,want_fwb,boxoffice,budget,gross_usa,rate_imdb,votes_imdb,oscar_nom,oscar_won,rasp_nom,rasp_won,gold_nom,gold_won,gga,bafta
Apollo 13,USA,1995,1995,Ron Howard,Dramat,140,7.4,208 869,25 829,355 237 933,62 000 000,173 837 933,7.6,226 909,2,7,0,0,0,0,0,2
Latwa dziewczyna,USA,2010,2010,Will Gluck,Komedia,92,6.6,128 976,11 490,74 952 305,8 000 000,58 401 464,7.1,305 110,0,0,0,0,0,0,0,0
Oceans Twelve Dogrywka,USA,2004,2005,Steven Soderbergh,Komedia,125,7.2,121 723,9 429,362 744 280,110 000 000,125 544 280,6.5,308 523,0,0,0,0,0,0,0,0
Niezniszczalni,USA,2010,2010,Sylvester Stallone,Akcja,103,6.7,138 566,13 488,274 470 394,80 000 000,103 068 524,6.5,290 970,0,0,1,0,0,0,0,0
Narzeczony mimo woli,USA,2009,2009,Anne Fletcher,Komedia,110,7.1,178 530,11 491,317 375 031,40 000 000,163 958 031,6.7,250 286,0,0,0,0,0,0,0,0
Prawo zemsty,USA,2009,2009,F. Gary Gray,Thriller,109,7.9,193 458,42 205,126 690 726,50 000 000,73 357 727,7.4,234 669,0,0,0,0,0,0,0,0
Zanim odejda wody,USA,2010,2010,Todd Phillips,Komedia,100,6.7,135 791,14 051,211 780 824,65 000 000,100 539 043,6.6,288 908,0,0,0,0,0,0,0,0
Piecdziesiat twarzy Greya,USA,2015,2015,Sam Taylor-Johnson,Melodramat,124,4.5,158 507,15 417,570 489 358,40 000 000,166 167 230,4.1,253 285,1,0,6,1,0,0,0,0
Speed Niebezpieczna predkosc,USA,1994,1994,Jan De Bont,Sensacyjny,116,6.7,121 512,5 207,350 448 145,30 000 000,121 248 145,7.2,281 993,1,2,0,0,0,0,0,2
Pretty Woman,USA,1990,1990,Garry Marshall,Komedia,119,7.4,166 486,10 663,463 406 268,14 000 000,178 406 268,7,236 423,1,0,0,0,0,0,1,0
Poznaj moich rodzicow,USA,2004,2005,Jay Roach,Komedia,115,6.7,176 305,12 663,516 642 939,80 000 000,279 261 160,6.3,225 513,0,0,0,0,0,0,0,0
Lot,USA,2012,2013,Robert Zemeckis,Dramat,138,7.4,118 363,18 919,161 772 375,31 000 000,93 772 375,7.3,283 360,2,0,0,0,0,0,0,0
Kac Vegas III,USA,2013,2013,Todd Phillips,Komedia,100,6.2,149 402,12 872,362 000 072,103 000 000,112 200 072,5.9,248 448,0,0,1,0,0,0,0,0
Osada,USA,2004,2004,M. Night Shyamalan,Thriller,108,6.2,174 933,27 652,256 697 520,60 000 000,114 197 520,6.5,211 335,1,0,0,0,0,0,0,0
Telefon,USA,2002,2003,Joel Schumacher,Thriller,81,7,160 968,18 624,97 837 138,13 000 000,46 566 212,7.1,224 065,0,0,0,0,0,0,0,0
Sekretne okno,USA,2004,2004,David Koepp,Thriller,95,7.1,220 093,107 426,92 913 171,40 000 000,48 022 900,6.6,159 419,0,0,0,0,0,0,0,0
Uprowadzona 2,Francja,2012,2012,Olivier Megaton,Sensacyjny,91,6.7,119 955,10 212,376 141 306,45 000 000,139 854 287,6.3,257 086,0,0,0,0,0,0,0,0
60 sekund,USA,2000,2000,Dominic Sena,Sensacyjny,117,7.3,142 341,11 947,237 202 299,90 000 000,101 648 571,6.5,232 761,0,0,0,0,0,0,0,0
Oszukana,USA,2008,2009,Clint Eastwood,Dramat,140,7.8,160 768,47 080,113 020 256,55 000 000,35 739 802,7.8,211 547,3,0,0,0,1,0,0,0
Szybko i wsciekle,USA,2009,2009,Justin Lin,Akcja,107,7.4,144 549,8 130,363 164 265,85 000 000,155 064 265,6.6,225 510,0,0,0,0,0,0,0,0
Holiday,USA,2006,2006,Nancy Meyers,Komedia,138,7.2,164 566,17 490,205 135 324,85 000 000,63 224 849,6.9,201 118,0,0,0,0,0,0,0,0
Szybcy i wsciekli Tokio Drift,USA,2006,2006,Justin Lin,Akcja,104,7.1,163 520,5 390,158 468 292,85 000 000,62 514 415,6,201 354,0,0,0,0,0,0,0,0
Dyktator,USA,2012,2012,Larry Charles,Komedia,83,6.4,127 521,11 173,179 379 533,65 000 000,59 650 222,6.4,232 268,0,0,0,0,0,0,0,0
Bad Boys,USA,1995,1995,Michael Bay,Sensacyjny,118,7.5,151 212,11 355,141 407 024,19 000 000,65 807 024,6.8,189 210,0,0,0,0,0,0,0,0
Nie zadzieraj z fryzjerem,USA,2008,2008,Dennis Dugan,Komedia,113,6.2,172 719,9 620,199 936 011,90 000 000,100 018 837,5.5,167 583,0,0,0,0,0,0,0,0
P.S. Kocham cie,USA,2007,2008,Richard LaGravenese,Melodramat,126,7.4,154 792,26 973,156 835 339,30 000 000,53 695 808,7.1,181 631,0,0,0,0,0,0,0,0
Legalna blondynka,USA,2001,2002,Robert Luketic,Komedia,96,6.1,189 171,6 490,141 774 679,18 000 000,96 520 674,6.2,147 196,0,0,0,0,0,0,0,0
Projekt X,USA,2012,2012,Nima Nourizadeh,Komedia,88,6.5,161 650,11 316,102 731 865,12 000 000,54 731 865,6.7,168 258,0,0,0,0,0,0,0,0
Praktykant,USA,2015,2015,Nancy Meyers,Komedia,121,7.2,151 741,22 426,194 464 672,35 000 000,75 764 672,7.1,170 030,0,0,0,0,0,0,0,0
Paranormal Activity,USA,2007,2009,Oren Peli,Horror,86,6.2,116 349,6 459,193 355 800,15 000,107 918 810,6.3,197 440,0,0,0,0,0,0,0,0
Misery,USA,1990,1990,Rob Reiner,Thriller,107,7.6,145 207,69 127,61 276 872,20 000 000,61 276 872,7.8,149 683,0,1,0,0,0,0,1,0
Wyznania gejszy,USA,2005,2006,Rob Marshall,Melodramat,145,7.7,166 444,34 607,162 242 962,85 000 000,57 490 508,7.4,125 644,3,3,0,0,0,0,1,3
Magnolia,USA,1999,2000,Paul Thomas Anderson,Dramat,188,7.4,35 450,51 344,48 451 803,37 000 000,22 455 976,8,255 734,3,0,0,0,0,1,1,0
Robin Hood Ksiaze zlodziei,USA,1991,1991,Kevin Reynolds,Przygodowy,143,7.2,130 195,12 130,390 493 908,48 000 000,165 493 908,6.9,155 625,1,0,1,1,0,0,0,1
Dracula,USA,1992,1992,Francis Ford Coppola,Horror,128,7.5,127 472,35 532,215 862 692,40 000 000,82 522 790,7.5,157 948,1,3,0,0,0,0,0,0
